264,26.98
Nature 5 - Character Physics\DeformTerrainMaster\gravityForceLeftYFloat,Nature 5 - Character Physics\DeformTerrainMaster\gravityForceRightYFloat,Nature 5 - Character Physics\DeformTerrainMaster\gravityForceYFloat,Nature 5 - Character Physics\DeformTerrainMaster\forceNetExertedByGroundLeftYFloat,Nature 5 - Character Physics\DeformTerrainMaster\forceNetExertedByGroundRightYFloat,Nature 5 - Character Physics\DeformTerrainMaster\forceNetExertedByGroundYFloat,Nature 5 - Character Physics\DeformTerrainMaster\totalForceLeftYFloat,Nature 5 - Character Physics\DeformTerrainMaster\totalForceRightYFloat,Nature 5 - Character Physics\DeformTerrainMaster\totalForceYFloat
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-367.875,-367.875,-735.750,-0.094,0.022,-0.073,367.781,367.897,735.678
-367.875,-367.875,-735.750,-1.040,0.146,-0.894,366.835,368.021,734.856
-367.875,-367.875,-735.750,-1.054,0.016,-1.038,366.821,367.891,734.712
-367.875,-367.875,-735.750,-1.198,0.286,-0.913,366.677,368.161,734.837
-367.875,-367.875,-735.750,-1.309,0.586,-0.723,366.566,368.461,735.027
-367.875,-367.875,-735.750,-0.681,0.465,-0.217,367.194,368.340,735.534
-367.875,-367.875,-735.750,-0.208,0.308,0.100,367.667,368.183,735.850
-367.875,-367.875,-735.750,-0.128,0.145,0.016,367.747,368.020,735.767
-367.875,-367.875,-735.750,-0.128,0.093,-0.035,367.747,367.968,735.715
-367.875,-367.875,-735.750,-0.836,0.270,-0.566,367.039,368.145,735.184
-367.875,-367.875,-735.750,-0.515,0.144,-0.371,367.360,368.019,735.379
-367.875,-367.875,-735.750,-0.309,0.043,-0.266,367.566,367.918,735.484
-367.875,-367.875,-735.750,-0.349,-0.162,-0.511,367.526,367.713,735.239
-367.875,-367.875,-735.750,-0.256,-0.285,-0.540,367.619,367.590,735.210
-367.875,-367.875,-735.750,-0.078,-0.125,-0.203,367.797,367.750,735.548
-367.875,-367.875,-735.750,-0.561,-0.146,-0.708,367.314,367.729,735.043
-367.875,-367.875,-735.750,-0.370,-0.080,-0.450,367.505,367.795,735.300
-367.875,-367.875,-735.750,-0.322,-0.024,-0.346,367.553,367.851,735.404
-367.875,-367.875,-735.750,-0.831,0.138,-0.693,367.044,368.013,735.057
-367.875,-367.875,-735.750,-1.219,0.201,-1.018,366.656,368.076,734.732
-367.875,-367.875,-735.750,-0.550,0.121,-0.429,367.325,367.996,735.321
-367.875,-367.875,-735.750,-1.098,0.244,-0.854,366.777,368.119,734.896
-367.875,-367.875,-735.750,-0.800,0.312,-0.488,367.075,368.187,735.262
-367.875,-367.875,-735.750,-0.522,0.391,-0.130,367.354,368.266,735.620
-367.875,-367.875,-735.750,-0.531,0.364,-0.167,367.344,368.239,735.583
-367.875,-367.875,-735.750,-0.746,0.307,-0.439,367.129,368.182,735.311
-367.875,-367.875,-735.750,-0.020,0.119,0.099,367.855,367.994,735.850
-367.875,-367.875,-735.750,0.025,0.014,0.039,367.900,367.889,735.789
-367.875,-367.875,-735.750,-0.854,0.111,-0.743,367.021,367.987,735.007
-367.875,-367.875,-735.750,-0.936,0.166,-0.770,366.939,368.041,734.980
-367.875,-367.875,-735.750,-0.293,-0.096,-0.390,367.582,367.779,735.361
-367.875,-367.875,-735.750,0.046,-0.070,-0.024,367.921,367.805,735.726
