260,26.85
Nature 5 - Character Physics\DeformTerrainMaster\gravityForceLeftYFloat,Nature 5 - Character Physics\DeformTerrainMaster\gravityForceRightYFloat,Nature 5 - Character Physics\DeformTerrainMaster\gravityForceYFloat,Nature 5 - Character Physics\DeformTerrainMaster\forceNetExertedByGroundLeftYFloat,Nature 5 - Character Physics\DeformTerrainMaster\forceNetExertedByGroundRightYFloat,Nature 5 - Character Physics\DeformTerrainMaster\forceNetExertedByGroundYFloat,Nature 5 - Character Physics\DeformTerrainMaster\totalForceLeftYFloat,Nature 5 - Character Physics\DeformTerrainMaster\totalForceRightYFloat,Nature 5 - Character Physics\DeformTerrainMaster\totalForceYFloat
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-367.875,-367.875,-735.750,959.159,984.493,1943.652,1327.034,1352.368,2679.402
-367.875,-367.875,-735.750,328.559,314.333,642.891,696.434,682.208,1378.641
-367.875,-367.875,-735.750,734.822,726.212,1461.034,1102.697,1094.087,2196.784
-367.875,-367.875,-735.750,529.999,458.015,988.013,897.874,825.890,1723.763
-367.875,-367.875,-735.750,236.740,446.049,445.003,366.830,813.924,1180.753
-367.875,-367.875,-735.750,236.740,7.686,6.361,366.550,375.561,742.111
-367.875,-367.875,-735.750,2.318,0.113,2.431,370.193,367.988,738.181
-367.875,-367.875,-735.750,0.872,0.008,0.880,368.747,367.883,736.630
-367.875,-367.875,-735.750,0.585,0.302,0.559,362.137,368.177,730.314
-367.875,-367.875,-735.750,1.325,0.027,1.352,369.200,367.902,737.102
-367.875,-367.875,-735.750,0.592,0.064,0.524,367.613,367.939,735.552
-367.875,-367.875,-735.750,0.592,0.352,0.524,365.833,368.227,734.060
-367.875,-367.875,-735.750,0.020,0.508,0.060,367.427,368.384,735.810
-367.875,-367.875,-735.750,0.910,0.625,1.535,368.785,368.500,737.285
-367.875,-367.875,-735.750,0.131,0.363,0.493,368.006,368.238,736.243
-367.875,-367.875,-735.750,0.481,0.372,0.853,368.356,368.247,736.603
-367.875,-367.875,-735.750,0.247,0.126,0.192,367.728,368.001,735.728
-367.875,-367.875,-735.750,0.247,0.313,0.192,363.002,368.188,731.191
-367.875,-367.875,-735.750,0.247,0.172,0.192,364.121,368.047,732.168
-367.875,-367.875,-735.750,0.247,0.015,0.192,363.909,367.819,731.727
-367.875,-367.875,-735.750,0.247,0.015,0.192,366.210,367.650,733.860
-367.875,-367.875,-735.750,0.309,0.015,0.032,368.184,367.598,735.782
-367.875,-367.875,-735.750,0.761,0.015,0.660,368.636,367.774,736.410
-367.875,-367.875,-735.750,0.419,0.015,0.330,368.294,367.787,736.080
-367.875,-367.875,-735.750,1.364,0.015,1.329,369.239,367.840,737.080
-367.875,-367.875,-735.750,0.079,0.002,0.089,365.196,367.862,733.057
-367.875,-367.875,-735.750,0.077,0.195,0.272,367.952,368.070,736.022
-367.875,-367.875,-735.750,0.082,0.194,0.119,367.800,368.069,735.869
-367.875,-367.875,-735.750,0.149,0.213,0.271,367.027,368.089,735.116
-367.875,-367.875,-735.750,0.149,0.222,0.271,367.027,368.097,735.124
-367.875,-367.875,-735.750,0.355,0.170,0.525,368.230,368.045,736.275
-367.875,-367.875,-735.750,0.171,0.551,0.189,367.513,368.426,735.939
-367.875,-367.875,-735.750,0.171,0.401,0.189,364.991,368.276,733.267
-367.875,-367.875,-735.750,0.171,0.078,0.189,366.892,367.953,734.846
-340.227,-395.524,-735.750,0.171,0.089,0.189,-290.832,391.612,100.780
-114.795,-620.955,-735.750,0.171,0.089,0.189,-210.496,592.647,382.151
-31.140,-704.610,-735.750,0.171,0.089,0.189,-10.967,-1412.334,-1423.301
-67.850,-667.900,-735.750,61.727,3223.162,3284.889,129.577,3891.062,4020.639
-231.382,-504.368,-735.750,553.663,1064.271,1617.934,785.044,1568.640,2353.684
-433.346,-302.404,-735.750,589.673,149.045,738.718,1023.019,451.449,1474.468
-695.621,-40.129,-735.750,971.378,3.328,969.769,1666.999,38.520,1705.519
-735.750,0.000,-735.750,971.378,3.328,969.769,-1952.730,0.000,-1952.730
-735.750,0.000,-735.750,1258.989,3.328,1258.989,1994.739,0.000,1994.739
-728.479,-7.271,-735.750,1843.074,22.617,1865.690,2571.553,29.888,2601.440
-724.915,-10.835,-735.750,411.348,0.370,411.717,1136.263,11.205,1147.467
-722.598,-13.152,-735.750,1092.460,0.964,1096.180,-408.876,14.116,-394.761
-686.043,-49.707,-735.750,225.559,2.874,223.420,616.776,37.217,653.993
-615.239,-120.511,-735.750,352.107,9.954,362.061,967.346,130.465,1097.811
-370.606,-365.144,-735.750,16.878,222.135,239.013,387.483,587.279,974.763
-149.242,-586.508,-735.750,43.359,527.745,571.104,192.601,1114.253,1306.854
-32.523,-703.227,-735.750,43.359,54.577,87.221,-109.421,757.803,648.382
0.000,-735.750,-735.750,43.359,1.824,1.824,0.000,737.574,737.574
0.000,-735.750,-735.750,43.359,393.609,393.609,0.000,-19.500,-19.500
-17.660,-718.090,-735.750,10.133,405.949,417.024,27.793,-500.233,-472.440
-17.530,-718.220,-735.750,8.488,670.253,684.069,26.018,653.344,679.362
-166.546,-569.204,-735.750,80.851,179.638,116.045,102.953,748.842,851.795
-357.499,-378.251,-735.750,289.779,1516.908,1789.776,647.278,-147.735,499.542
-367.875,-367.875,-735.750,77.199,1516.908,1789.776,445.074,-52.921,392.153
-367.875,-367.875,-735.750,91.846,248.690,340.535,459.721,616.565,1076.285
-367.875,-367.875,-735.750,104.673,2678.610,2783.282,472.548,3046.485,3519.032
-367.875,-367.875,-735.750,5.953,262.746,268.699,373.828,630.621,1004.449
-367.875,-367.875,-735.750,1.566,34.558,36.124,369.441,402.433,771.874
-367.875,-367.875,-735.750,0.038,0.002,0.267,367.913,364.144,732.057
-367.875,-367.875,-735.750,0.038,5.072,4.749,367.552,372.947,740.499
-367.875,-367.875,-735.750,0.038,6.877,5.963,366.961,374.752,741.713
-367.875,-367.875,-735.750,0.038,2.127,0.769,367.075,366.940,734.015
-367.875,-367.875,-735.750,0.038,3.914,2.368,366.329,371.789,738.118
-367.875,-367.875,-735.750,0.038,5.371,4.763,367.267,373.246,740.513
-367.875,-367.875,-735.750,0.025,0.724,0.413,367.770,357.328,725.098
-367.875,-367.875,-735.750,0.025,0.724,0.413,367.439,355.141,722.580
-367.875,-367.875,-735.750,0.025,0.724,0.413,366.931,355.064,721.995
-367.875,-367.875,-735.750,0.025,7.090,5.863,366.648,374.966,741.613
-367.875,-367.875,-735.750,0.025,13.862,13.310,367.323,381.737,749.060
-274.185,-461.565,-735.750,0.025,11.894,11.643,-21.915,-672.640,-694.555
-179.176,-556.574,-735.750,177.840,1925.012,2102.851,357.016,2481.585,2838.602
-37.045,-698.705,-735.750,17.327,103.096,37.442,-12.348,-3293.646,-3305.995
-67.998,-667.752,-735.750,93.201,1115.327,1100.167,161.199,-295.481,-134.282
-311.524,-424.226,-735.750,261.337,78.924,184.542,572.860,347.432,920.292
-474.509,-261.241,-735.750,104.363,1041.572,1501.379,578.872,-78.169,500.703
-695.357,-40.393,-735.750,128.440,72.029,303.223,573.051,112.423,685.473
-724.182,-11.568,-735.750,119.726,5.246,113.322,514.719,5.605,520.324
-735.750,0.000,-735.750,200.574,0.451,200.574,936.324,0.000,936.324
-729.365,-6.385,-735.750,107.191,3.047,110.238,836.556,9.432,845.989
-725.832,-9.918,-735.750,46.029,1.142,47.171,771.861,11.060,782.921
-724.676,-11.075,-735.750,83.468,1.475,84.943,808.144,12.549,820.693
-677.927,-57.823,-735.750,83.468,0.344,84.943,464.153,45.438,509.590
-424.219,-311.531,-735.750,83.468,126.696,28.678,-366.141,438.227,72.086
-363.920,-371.830,-735.750,83.468,69.501,28.678,266.364,441.332,707.696
-367.875,-367.875,-735.750,355.606,8.922,364.528,723.481,376.797,1100.278
-367.875,-367.875,-735.750,88.000,0.308,88.308,455.876,368.183,824.059
-367.875,-367.875,-735.750,37.334,0.042,36.984,405.209,367.525,772.735
-367.875,-367.875,-735.750,1.670,0.042,1.445,369.545,367.650,737.195
-367.875,-367.875,-735.750,0.377,0.042,0.367,368.252,367.866,736.118
-367.875,-367.875,-735.750,0.043,0.042,0.037,367.737,367.917,735.654
-347.883,-387.867,-735.750,0.043,0.182,0.037,222.106,386.555,608.661
-218.174,-517.576,-735.750,1.937,0.182,0.037,220.112,488.268,708.380
-77.422,-658.328,-735.750,1.937,0.182,0.037,-53.571,547.771,494.201
-43.986,-691.764,-735.750,27.057,0.182,0.037,71.043,524.531,595.574
-159.269,-576.481,-735.750,137.044,0.182,5.305,296.313,444.742,741.055
